Customer ID,Age,Gender,Location,Subscription Status,Previous Purchases,Preferred Payment Method,Frequency of Purchases
5,45,Male,Oregon,Yes,31,PayPal,2
7,63,Male,Montana,Yes,49,Cash,3
11,53,Male,Arkansas,Yes,26,Bank Transfer,5
13,61,Male,Delaware,Yes,37,Venmo,6
14,65,Male,New Hampshire,Yes,31,PayPal,7
15,64,Male,New York,Yes,34,Debit Card,7
18,53,Male,Mississippi,Yes,36,Venmo,3
20,66,Male,Rhode Island,Yes,46,Debit Card,5
23,56,Male,California,Yes,32,Debit Card,2
29,54,Male,North Carolina,Yes,41,PayPal,1
34,54,Male,Colorado,Yes,45,Cash,3
36,54,Male,Massachusetts,Yes,48,Credit Card,5
41,69,Male,Louisiana,Yes,31,Debit Card,3
42,67,Male,Alaska,Yes,40,Venmo,2
47,57,Male,California,Yes,45,Cash,3
48,55,Male,Montana,Yes,36,Cash,7
50,68,Male,New Jersey,Yes,34,Debit Card,5
51,49,Male,Maryland,Yes,39,Debit Card,5
55,47,Male,New Mexico,Yes,35,Debit Card,5
59,69,Male,Missouri,Yes,29,Venmo,4
66,65,Male,New Jersey,Yes,44,Venmo,1
68,45,Male,Connecticut,Yes,49,Debit Card,4
74,48,Male,Hawaii,Yes,43,Bank Transfer,5
77,50,Male,Delaware,Yes,32,Venmo,4
79,50,Male,Nebraska,Yes,50,Venmo,6
82,67,Male,Virginia,Yes,36,Credit Card,1
85,52,Male,Arizona,Yes,42,Bank Transfer,1
88,52,Male,Ohio,Yes,44,Debit Card,6
95,58,Male,Nevada,Yes,28,Credit Card,7
101,62,Male,South Dakota,Yes,31,Cash,6
103,51,Male,Oklahoma,Yes,35,Credit Card,3
107,64,Male,Minnesota,Yes,31,Credit Card,4
109,70,Male,Montana,Yes,32,Bank Transfer,5
110,58,Male,Alabama,Yes,43,Bank Transfer,6
111,56,Male,New York,Yes,26,Venmo,6
116,53,Male,Wyoming,Yes,48,Debit Card,1
118,50,Male,South Dakota,Yes,29,Cash,6
119,50,Male,Kentucky,Yes,27,Cash,5
121,64,Male,West Virginia,Yes,32,Bank Transfer,2
124,57,Male,Louisiana,Yes,46,Cash,7
126,49,Male,California,Yes,45,Venmo,1
138,68,Male,Colorado,Yes,38,PayPal,7
139,68,Male,Georgia,Yes,42,Bank Transfer,7
140,49,Male,Florida,Yes,30,Venmo,2
141,63,Male,North Carolina,Yes,50,Credit Card,7
142,56,Male,Virginia,Yes,45,PayPal,7
148,63,Male,Idaho,Yes,31,Bank Transfer,6
160,58,Male,New Hampshire,Yes,39,Bank Transfer,1
162,65,Male,North Dakota,Yes,29,Venmo,6
163,54,Male,California,Yes,31,PayPal,5
167,46,Male,Delaware,Yes,30,Cash,4
171,52,Male,Wyoming,Yes,46,Venmo,5
173,54,Male,Nebraska,Yes,42,Credit Card,5
177,53,Male,New Hampshire,Yes,30,Credit Card,3
184,58,Male,Ohio,Yes,26,Credit Card,7
186,46,Male,Wisconsin,Yes,34,Bank Transfer,6
191,65,Male,Indiana,Yes,48,Venmo,3
192,64,Male,Utah,Yes,29,Cash,1
196,51,Male,New York,Yes,34,Credit Card,4
198,59,Male,South Carolina,Yes,41,Credit Card,4
199,57,Male,Utah,Yes,39,Credit Card,6
200,54,Male,Idaho,Yes,32,Cash,7
203,57,Male,Nebraska,Yes,33,Venmo,2
206,67,Male,Hawaii,Yes,25,PayPal,7
210,55,Male,Minnesota,Yes,44,Cash,1
212,69,Male,South Dakota,Yes,45,Debit Card,6
230,70,Male,Ohio,Yes,27,PayPal,1
231,66,Male,Utah,Yes,43,Credit Card,2
233,54,Male,Hawaii,Yes,32,Bank Transfer,5
238,50,Male,Iowa,Yes,36,Debit Card,6
240,49,Male,Vermont,Yes,47,Credit Card,5
241,47,Male,Montana,Yes,29,Bank Transfer,6
243,55,Male,New York,Yes,40,Debit Card,1
245,53,Male,Oregon,Yes,39,PayPal,7
246,49,Male,Rhode Island,Yes,45,Venmo,6
249,47,Male,Pennsylvania,Yes,33,PayPal,7
267,51,Male,Louisiana,Yes,32,Credit Card,7
268,64,Male,Maryland,Yes,42,Venmo,2
272,65,Male,Maryland,Yes,42,Credit Card,6
273,48,Male,Oregon,Yes,37,Debit Card,5
274,69,Male,North Dakota,Yes,32,Debit Card,3
275,59,Male,Maryland,Yes,28,Cash,5
290,49,Male,New York,Yes,26,Credit Card,4
291,58,Male,Colorado,Yes,50,PayPal,7
292,57,Male,Delaware,Yes,40,Bank Transfer,4
294,69,Male,Connecticut,Yes,33,PayPal,2
306,60,Male,Utah,Yes,26,PayPal,2
309,66,Male,Maryland,Yes,45,Venmo,5
311,56,Male,Montana,Yes,50,Cash,6
318,58,Male,West Virginia,Yes,42,Cash,1
321,66,Male,Kansas,Yes,28,Debit Card,3
324,66,Male,Tennessee,Yes,29,PayPal,5
326,70,Male,Vermont,Yes,38,Debit Card,2
327,62,Male,New Jersey,Yes,48,Bank Transfer,7
328,61,Male,Iowa,Yes,36,PayPal,7
330,70,Male,Nevada,Yes,34,Bank Transfer,4
331,46,Male,North Dakota,Yes,43,Venmo,5
343,64,Male,Kentucky,Yes,48,Credit Card,1
346,48,Male,Wyoming,Yes,27,Bank Transfer,2
354,63,Male,Missouri,Yes,35,Debit Card,4
355,58,Male,Pennsylvania,Yes,42,Venmo,7
357,56,Male,Nevada,Yes,27,Cash,7
359,48,Male,Minnesota,Yes,36,Credit Card,1
362,65,Male,Nevada,Yes,45,Cash,2
364,55,Male,Florida,Yes,42,Bank Transfer,6
366,55,Male,West Virginia,Yes,50,PayPal,3
367,64,Male,Nebraska,Yes,37,Venmo,6
375,69,Male,Ohio,Yes,39,Bank Transfer,4
378,63,Male,Maine,Yes,39,Credit Card,1
387,64,Male,Louisiana,Yes,40,PayPal,3
388,45,Male,Georgia,Yes,38,PayPal,6
414,70,Male,Nevada,Yes,48,Cash,4
416,67,Male,Connecticut,Yes,40,Bank Transfer,4
423,47,Male,Minnesota,Yes,32,Debit Card,2
425,66,Male,Illinois,Yes,42,PayPal,6
433,47,Male,Indiana,Yes,26,Venmo,7
435,50,Male,Oklahoma,Yes,39,PayPal,1
436,51,Male,Montana,Yes,42,Bank Transfer,4
438,45,Male,New Mexico,Yes,41,PayPal,2
440,62,Male,Idaho,Yes,31,Cash,4
445,48,Male,California,Yes,31,Debit Card,2
452,66,Male,Virginia,Yes,26,Credit Card,6
453,45,Male,Missouri,Yes,39,PayPal,6
456,54,Male,Utah,Yes,50,Debit Card,6
457,50,Male,North Carolina,Yes,33,Credit Card,3
459,47,Male,Arkansas,Yes,48,PayPal,4
460,63,Male,Maryland,Yes,27,PayPal,6
461,64,Male,South Carolina,Yes,27,Bank Transfer,7
463,59,Male,Illinois,Yes,48,Venmo,1
472,55,Male,Missouri,Yes,36,Bank Transfer,3
481,68,Male,Vermont,Yes,30,Debit Card,5
485,68,Male,Missouri,Yes,28,Bank Transfer,3
486,48,Male,Tennessee,Yes,36,Debit Card,6
489,58,Male,Maine,Yes,32,Venmo,7
490,49,Male,South Dakota,Yes,40,PayPal,2
491,57,Male,Colorado,Yes,47,Cash,4
504,55,Male,West Virginia,Yes,26,Bank Transfer,3
508,65,Male,Maine,Yes,33,Debit Card,6
515,64,Male,Indiana,Yes,47,PayPal,3
518,61,Male,North Dakota,Yes,44,Cash,1
523,65,Male,Minnesota,Yes,37,Cash,3
525,59,Male,Pennsylvania,Yes,44,PayPal,2
526,51,Male,Iowa,Yes,41,Debit Card,4
532,50,Male,Vermont,Yes,42,Cash,7
540,49,Male,Wyoming,Yes,49,Debit Card,7
541,49,Male,South Carolina,Yes,33,Cash,1
542,52,Male,Connecticut,Yes,45,Cash,5
547,62,Male,New Mexico,Yes,45,Venmo,5
555,56,Male,Minnesota,Yes,34,Bank Transfer,7
556,63,Male,Maine,Yes,37,Venmo,2
559,50,Male,Iowa,Yes,43,Debit Card,1
562,65,Male,Alabama,Yes,25,PayPal,6
563,53,Male,Missouri,Yes,40,Debit Card,2
565,67,Male,Florida,Yes,30,Bank Transfer,7
570,65,Male,Alabama,Yes,46,Credit Card,1
572,54,Male,Kentucky,Yes,37,Venmo,7
573,56,Male,South Carolina,Yes,26,Bank Transfer,2
576,58,Male,Nebraska,Yes,38,PayPal,4
580,58,Male,California,Yes,48,Credit Card,2
591,64,Male,Alaska,Yes,30,Venmo,6
593,60,Male,North Dakota,Yes,42,Venmo,1
600,51,Male,Massachusetts,Yes,27,Debit Card,1
608,47,Male,Indiana,Yes,44,Cash,4
610,51,Male,Ohio,Yes,49,Credit Card,6
611,53,Male,Oklahoma,Yes,27,Bank Transfer,1
613,67,Male,New Hampshire,Yes,33,Credit Card,3
614,61,Male,Pennsylvania,Yes,46,Cash,5
622,51,Male,Kansas,Yes,45,Credit Card,7
623,69,Male,Georgia,Yes,44,Bank Transfer,6
629,69,Male,Massachusetts,Yes,29,Credit Card,4
632,55,Male,Washington,Yes,27,Cash,6
634,66,Male,Minnesota,Yes,50,Debit Card,3
639,53,Male,Maryland,Yes,41,PayPal,4
640,54,Male,Mississippi,Yes,50,Credit Card,2
641,53,Male,Minnesota,Yes,28,Debit Card,6
645,68,Male,Louisiana,Yes,37,Cash,7
650,53,Male,Delaware,Yes,33,PayPal,1
653,64,Male,Minnesota,Yes,27,Venmo,7
661,50,Male,Montana,Yes,39,Credit Card,3
662,57,Male,Iowa,Yes,39,Credit Card,3
665,63,Male,Colorado,Yes,41,PayPal,5
669,49,Male,Hawaii,Yes,35,Bank Transfer,4
671,63,Male,Louisiana,Yes,37,Cash,5
673,59,Male,Washington,Yes,29,Cash,3
675,48,Male,Washington,Yes,36,Bank Transfer,2
678,60,Male,Washington,Yes,41,PayPal,2
680,56,Male,Michigan,Yes,37,Venmo,6
685,63,Male,Alabama,Yes,42,Debit Card,4
686,70,Male,Massachusetts,Yes,32,Cash,6
687,70,Male,Indiana,Yes,33,Venmo,6
692,60,Male,Massachusetts,Yes,37,PayPal,5
694,46,Male,Vermont,Yes,30,Cash,1
698,61,Male,North Dakota,Yes,40,Debit Card,3
699,55,Male,Iowa,Yes,40,Debit Card,7
707,46,Male,Iowa,Yes,27,Debit Card,7
720,63,Male,Mississippi,Yes,42,Venmo,5
726,61,Male,Texas,Yes,33,Debit Card,6
728,62,Male,Arkansas,Yes,37,Venmo,1
731,48,Male,Massachusetts,Yes,28,Venmo,6
735,65,Male,New Jersey,Yes,39,Bank Transfer,1
736,61,Male,Montana,Yes,48,Cash,5
738,47,Male,Nebraska,Yes,28,PayPal,2
739,56,Male,Minnesota,Yes,27,Venmo,3
740,64,Male,Minnesota,Yes,26,Venmo,5
745,67,Male,Illinois,Yes,42,Debit Card,5
754,47,Male,Massachusetts,Yes,27,Venmo,3
759,66,Male,Massachusetts,Yes,39,Bank Transfer,1
762,57,Male,Nevada,Yes,26,Bank Transfer,7
763,45,Male,New Mexico,Yes,43,Debit Card,6
769,64,Male,Illinois,Yes,45,Venmo,7
778,55,Male,Wyoming,Yes,37,Venmo,7
780,60,Male,Utah,Yes,38,Cash,2
784,63,Male,Louisiana,Yes,38,PayPal,6
786,46,Male,Louisiana,Yes,37,PayPal,6
792,50,Male,North Carolina,Yes,35,PayPal,6
800,55,Male,Nevada,Yes,31,PayPal,2
807,56,Male,Florida,Yes,46,PayPal,3
809,46,Male,Wisconsin,Yes,38,Cash,1
810,48,Male,South Carolina,Yes,30,PayPal,5
811,52,Male,South Dakota,Yes,32,Debit Card,5
813,64,Male,Alaska,Yes,32,Credit Card,7
819,59,Male,Idaho,Yes,34,Debit Card,4
820,55,Male,Colorado,Yes,28,Debit Card,3
821,56,Male,Louisiana,Yes,27,Debit Card,4
822,62,Male,Vermont,Yes,31,Credit Card,5
825,61,Male,Georgia,Yes,48,Cash,3
827,54,Male,Massachusetts,Yes,36,PayPal,7
832,66,Male,Washington,Yes,47,Cash,1
833,58,Male,California,Yes,28,Cash,5
842,55,Male,Texas,Yes,28,PayPal,6
845,59,Male,Missouri,Yes,44,Venmo,5
847,49,Male,Kentucky,Yes,42,Debit Card,3
848,53,Male,New Jersey,Yes,30,PayPal,4
849,48,Male,Delaware,Yes,33,Credit Card,5
854,62,Male,Delaware,Yes,35,Cash,4
857,55,Male,Alaska,Yes,47,Debit Card,6
862,46,Male,Virginia,Yes,35,Credit Card,1
864,49,Male,Vermont,Yes,42,PayPal,6
872,47,Male,Hawaii,Yes,45,Debit Card,3
878,64,Male,Nebraska,Yes,45,Venmo,1
883,50,Male,Virginia,Yes,37,Cash,1
885,67,Male,Hawaii,Yes,34,Bank Transfer,7
888,70,Male,Minnesota,Yes,33,PayPal,6
889,49,Male,New Hampshire,Yes,44,Cash,2
890,59,Male,Arizona,Yes,50,Venmo,7
891,52,Male,New York,Yes,47,Credit Card,4
897,69,Male,Arkansas,Yes,38,Cash,6
901,54,Male,West Virginia,Yes,42,Bank Transfer,3
902,60,Male,Missouri,Yes,34,Cash,4
905,69,Male,Alaska,Yes,46,PayPal,1
910,61,Male,Louisiana,Yes,36,PayPal,7
925,52,Male,Kansas,Yes,37,Cash,3
929,67,Male,Arkansas,Yes,31,Cash,1
930,59,Male,Nebraska,Yes,26,Debit Card,6
933,62,Male,Indiana,Yes,45,Debit Card,5
934,70,Male,Colorado,Yes,33,Debit Card,4
945,54,Male,Indiana,Yes,39,Cash,5
951,54,Male,New Mexico,Yes,30,PayPal,3
952,47,Male,Alaska,Yes,34,Bank Transfer,4
954,68,Male,Utah,Yes,36,Venmo,3
959,70,Male,Washington,Yes,31,Credit Card,5
962,62,Male,Pennsylvania,Yes,37,Debit Card,3
969,57,Male,North Carolina,Yes,48,Bank Transfer,3
973,61,Male,Colorado,Yes,33,Credit Card,7
974,60,Male,Colorado,Yes,30,Bank Transfer,3
979,56,Male,Colorado,Yes,33,Credit Card,7
980,64,Male,New Hampshire,Yes,34,Debit Card,4
981,56,Male,Maryland,Yes,39,PayPal,1
987,54,Male,Connecticut,Yes,36,Bank Transfer,4
988,62,Male,West Virginia,Yes,48,PayPal,7
989,50,Male,Ohio,Yes,47,PayPal,6
993,46,Male,Louisiana,Yes,50,Debit Card,7
998,64,Male,Kentucky,Yes,31,Cash,6
999,51,Male,Connecticut,Yes,48,Bank Transfer,5
1011,54,Male,South Dakota,Yes,37,Credit Card,6
1014,59,Male,South Carolina,Yes,31,Venmo,5
1016,68,Male,North Carolina,Yes,34,Cash,7
1019,50,Male,Georgia,Yes,46,Cash,7
1022,55,Male,Massachusetts,Yes,39,PayPal,7
1024,61,Male,Maine,Yes,29,Bank Transfer,1
1027,49,Male,Virginia,Yes,39,PayPal,5
1031,58,Male,Kentucky,Yes,37,Debit Card,3
1033,55,Male,Maine,Yes,44,Credit Card,3
1035,68,Male,Maryland,Yes,44,Bank Transfer,7
1036,61,Male,Georgia,Yes,32,Venmo,2
1038,52,Male,Rhode Island,Yes,48,Debit Card,3
1043,55,Male,Maryland,Yes,47,Credit Card,7
1052,45,Male,Ohio,Yes,39,PayPal,2
1064,62,Male,Alabama,No,35,Cash,4
1069,55,Male,Wyoming,No,47,Credit Card,7
1071,50,Male,North Carolina,No,50,Debit Card,7
1072,61,Male,Pennsylvania,No,46,Credit Card,4
1073,48,Male,Idaho,No,34,Debit Card,6
1075,48,Male,Tennessee,No,45,Bank Transfer,6
1076,57,Male,Missouri,No,32,Debit Card,5
1082,62,Male,Idaho,No,45,Credit Card,2
1083,54,Male,South Carolina,No,30,Venmo,3
1087,53,Male,Alaska,No,27,PayPal,5
1094,60,Male,Delaware,No,46,Venmo,1
1097,57,Male,New Hampshire,No,48,Credit Card,2
1098,58,Male,Vermont,No,47,Bank Transfer,7
1099,49,Male,Idaho,No,27,Credit Card,7
1108,69,Male,Texas,No,26,Bank Transfer,7
1113,69,Male,Washington,No,32,PayPal,3
1115,55,Male,New Hampshire,No,47,Bank Transfer,1
1117,67,Male,Hawaii,No,39,PayPal,6
1129,56,Male,New York,No,35,Debit Card,4
1131,67,Male,Kentucky,No,30,PayPal,5
1136,65,Male,Massachusetts,No,32,Bank Transfer,3
1140,58,Male,Alabama,No,42,Debit Card,5
1143,69,Male,Ohio,No,27,Venmo,5
1144,68,Male,Nevada,No,43,PayPal,3
1155,49,Male,Georgia,No,44,Credit Card,5
1156,67,Male,Tennessee,No,47,PayPal,3
1159,69,Male,Nevada,No,41,Bank Transfer,2
1160,66,Male,New Hampshire,No,46,Venmo,1
1162,63,Male,Oklahoma,No,37,PayPal,4
1165,68,Male,Montana,No,47,PayPal,3
1169,68,Male,Mississippi,No,37,Debit Card,6
1171,57,Male,Illinois,No,33,Cash,5
1173,59,Male,Oregon,No,42,Bank Transfer,5
1182,61,Male,New York,No,43,Bank Transfer,3
1186,47,Male,Maine,No,29,Credit Card,4
1187,63,Male,Indiana,No,27,Credit Card,2
1188,56,Male,Iowa,No,37,Credit Card,1
1190,64,Male,Arkansas,No,28,Debit Card,2
1191,62,Male,South Carolina,No,31,Credit Card,7
1193,49,Male,Florida,No,42,Venmo,3
1198,54,Male,Vermont,No,26,PayPal,2
1206,52,Male,California,No,38,Bank Transfer,6
1208,62,Male,Washington,No,48,Credit Card,1
1219,55,Male,Pennsylvania,No,43,Cash,1
1221,67,Male,Kentucky,No,36,Bank Transfer,3
1223,58,Male,Indiana,No,27,Bank Transfer,2
1232,66,Male,Pennsylvania,No,43,Credit Card,6
1233,57,Male,New York,No,31,Debit Card,1
1234,46,Male,Utah,No,40,Venmo,1
1240,62,Male,New Jersey,No,32,Debit Card,1
1242,58,Male,Hawaii,No,34,Credit Card,7
1250,62,Male,Oregon,No,48,Venmo,6
1252,56,Male,Indiana,No,43,Credit Card,4
1258,68,Male,Minnesota,No,31,Cash,1
1259,47,Male,Ohio,No,34,Debit Card,1
1260,68,Male,Minnesota,No,45,Credit Card,4
1261,63,Male,Virginia,No,30,Debit Card,3
1268,47,Male,Oregon,No,41,Cash,7
1272,70,Male,Kentucky,No,42,PayPal,2
1275,54,Male,Missouri,No,37,PayPal,3
1277,51,Male,Wyoming,No,37,Bank Transfer,7
1285,65,Male,Arkansas,No,38,PayPal,6
1286,64,Male,North Carolina,No,45,Bank Transfer,6
1289,66,Male,South Dakota,No,34,PayPal,5
1301,67,Male,West Virginia,No,47,Credit Card,1
1307,54,Male,Alaska,No,40,PayPal,2
1316,56,Male,Mississippi,No,29,Debit Card,3
1320,65,Male,Oklahoma,No,48,Bank Transfer,7
1322,59,Male,Missouri,No,45,Bank Transfer,1
1328,52,Male,Florida,No,37,Cash,7
1330,70,Male,Texas,No,50,PayPal,1
1336,56,Male,Nevada,No,26,Credit Card,7
1339,56,Male,Alabama,No,43,PayPal,6
1344,68,Male,Florida,No,34,Bank Transfer,4
1353,65,Male,Indiana,No,37,Credit Card,5
1356,59,Male,Florida,No,50,PayPal,5
1357,49,Male,Indiana,No,34,Bank Transfer,2
1362,49,Male,Alabama,No,39,Debit Card,4
1373,64,Male,Michigan,No,44,PayPal,5
1381,51,Male,Massachusetts,No,41,Cash,6
1389,62,Male,Arkansas,No,40,Cash,3
1392,53,Male,Mississippi,No,38,Credit Card,2
1396,47,Male,West Virginia,No,40,PayPal,5
1398,55,Male,Massachusetts,No,33,PayPal,2
1403,62,Male,North Dakota,No,47,PayPal,4
1409,58,Male,Maine,No,38,Venmo,7
1417,48,Male,Idaho,No,46,Cash,3
1425,66,Male,Connecticut,No,34,Bank Transfer,1
1426,59,Male,Wyoming,No,39,Credit Card,2
1427,60,Male,Michigan,No,35,PayPal,1
1434,70,Male,Minnesota,No,45,Debit Card,7
1436,45,Male,Oregon,No,41,Cash,7
1443,53,Male,Idaho,No,42,Credit Card,2
1452,54,Male,Utah,No,35,PayPal,3
1457,59,Male,Montana,No,30,PayPal,1
1458,58,Male,Pennsylvania,No,47,Venmo,6
1461,70,Male,Pennsylvania,No,33,Venmo,5
1462,54,Male,Oregon,No,42,Venmo,3
1466,46,Male,Nebraska,No,42,Cash,5
1482,64,Male,Maryland,No,31,PayPal,3
1494,70,Male,North Dakota,No,44,Credit Card,3
1499,59,Male,Illinois,No,46,Venmo,6
1504,50,Male,Michigan,No,46,Cash,3
1506,46,Male,North Dakota,No,39,Cash,4
1511,55,Male,Maryland,No,31,Venmo,2
1520,50,Male,Texas,No,40,PayPal,7
1524,54,Male,Georgia,No,35,Debit Card,2
1529,69,Male,Oregon,No,47,Venmo,5
1535,55,Male,Wyoming,No,26,Venmo,6
1538,68,Male,Alaska,No,50,Venmo,2
1543,59,Male,Hawaii,No,43,PayPal,7
1546,48,Male,Delaware,No,49,Bank Transfer,2
1548,46,Male,South Carolina,No,40,Cash,3
1549,69,Male,Maryland,No,43,Bank Transfer,7
1551,66,Male,Arkansas,No,40,Bank Transfer,3
1566,58,Male,Idaho,No,48,PayPal,2
1576,52,Male,California,No,28,Cash,6
1577,56,Male,Michigan,No,36,PayPal,4
1581,65,Male,North Dakota,No,30,Cash,2
1582,69,Male,Ohio,No,46,Cash,3
1602,65,Male,Indiana,No,33,Credit Card,4
1608,49,Male,Vermont,No,43,Debit Card,3
1616,64,Male,New York,No,45,Cash,5
1619,63,Male,Michigan,No,39,Debit Card,3
1620,57,Male,Hawaii,No,50,Venmo,5
1622,68,Male,Ohio,No,38,Debit Card,6
1624,64,Male,Indiana,No,50,Debit Card,2
1631,63,Male,New Jersey,No,29,Venmo,1
1634,54,Male,North Dakota,No,33,Debit Card,5
1636,68,Male,North Carolina,No,40,Cash,2
1637,58,Male,North Dakota,No,49,Cash,6
1646,53,Male,Ohio,No,36,Venmo,1
1651,60,Male,Arkansas,No,46,Credit Card,6
1652,59,Male,Texas,No,42,Debit Card,4
1660,53,Male,Utah,No,44,Venmo,2
1661,59,Male,Louisiana,No,37,Venmo,4
1663,63,Male,New Mexico,No,46,Debit Card,6
1667,51,Male,Arkansas,No,47,PayPal,2
1669,66,Male,Utah,No,28,Debit Card,6
1678,65,Male,Oregon,No,41,Debit Card,7
1683,65,Male,New York,No,37,Credit Card,5
1693,56,Male,Utah,No,33,Cash,5
1694,63,Male,Tennessee,No,45,Bank Transfer,6
1701,62,Male,West Virginia,No,36,Bank Transfer,4
1702,69,Male,Mississippi,No,44,Debit Card,1
1703,54,Male,Alabama,No,48,Bank Transfer,7
1714,49,Male,Missouri,No,37,PayPal,3
1717,69,Male,Connecticut,No,30,Cash,1
1724,70,Male,New York,No,39,PayPal,2
1726,45,Male,Massachusetts,No,32,Venmo,3
1727,57,Male,Indiana,No,45,Debit Card,7
1733,45,Male,Rhode Island,No,36,Cash,1
1736,58,Male,Texas,No,31,Venmo,2
1737,57,Male,Tennessee,No,43,Cash,3
1739,60,Male,Tennessee,No,37,Credit Card,7
1747,65,Male,Alabama,No,44,Bank Transfer,6
1748,61,Male,New Hampshire,No,41,Venmo,3
1752,57,Male,Ohio,No,34,Cash,2
1756,56,Male,Delaware,No,45,Cash,4
1765,61,Male,Delaware,No,34,Venmo,3
1766,68,Male,New Mexico,No,41,Venmo,3
1767,60,Male,Alaska,No,27,Cash,5
1768,69,Male,Minnesota,No,46,Debit Card,6
1771,53,Male,Michigan,No,34,Bank Transfer,7
1781,67,Male,North Dakota,No,49,Credit Card,7
1783,52,Male,Utah,No,40,Bank Transfer,6
1790,52,Male,Arizona,No,43,Debit Card,3
1791,50,Male,North Carolina,No,31,PayPal,5
1792,62,Male,Montana,No,38,Cash,2
1794,65,Male,Iowa,No,45,Cash,1
1797,62,Male,South Carolina,No,34,Venmo,7
1798,62,Male,Oregon,No,26,Venmo,7
1803,57,Male,Rhode Island,No,31,Venmo,5
1804,60,Male,New Hampshire,No,33,Venmo,6
1816,51,Male,New Mexico,No,48,Credit Card,1
1819,58,Male,North Carolina,No,47,Debit Card,1
1820,51,Male,Nevada,No,50,Cash,3
1822,57,Male,Maine,No,29,PayPal,3
1824,62,Male,Louisiana,No,40,Bank Transfer,5
1825,58,Male,Illinois,No,31,Cash,4
1827,45,Male,Indiana,No,44,Debit Card,2
1833,69,Male,Louisiana,No,48,Cash,4
1835,49,Male,Indiana,No,39,Venmo,6
1836,65,Male,Kentucky,No,45,Credit Card,3
1837,66,Male,South Carolina,No,35,Credit Card,4
1845,60,Male,South Dakota,No,31,Credit Card,2
1846,51,Male,Delaware,No,39,Bank Transfer,3
1848,46,Male,Arizona,No,49,Credit Card,7
1851,51,Male,Wyoming,No,50,Debit Card,7
1857,63,Male,Arizona,No,30,PayPal,5
1858,51,Male,Colorado,No,33,Cash,4
1860,54,Male,New Jersey,No,29,Debit Card,6
1874,64,Male,Wisconsin,No,49,Bank Transfer,7
1880,56,Male,Tennessee,No,46,Cash,5
1889,62,Male,South Dakota,No,48,Credit Card,7
1890,59,Male,North Carolina,No,27,Bank Transfer,7
1892,69,Male,New Hampshire,No,48,Debit Card,3
1901,65,Male,Iowa,No,34,Cash,3
1902,56,Male,Arizona,No,50,Cash,3
1904,59,Male,North Carolina,No,37,Bank Transfer,7
1908,69,Male,New Mexico,No,36,Credit Card,1
1912,65,Male,Arizona,No,32,Debit Card,5
1914,49,Male,Kentucky,No,29,Cash,2
1916,51,Male,Alabama,No,44,Cash,7
1921,51,Male,Connecticut,No,40,Cash,1
1926,59,Male,Utah,No,44,Credit Card,6
1930,59,Male,Hawaii,No,46,Venmo,3
1931,66,Male,North Carolina,No,26,Cash,7
1934,48,Male,Montana,No,28,Venmo,2
1937,70,Male,Minnesota,No,44,PayPal,1
1939,46,Male,Kentucky,No,39,Debit Card,5
1941,50,Male,Alaska,No,48,PayPal,6
1942,55,Male,Vermont,No,46,Credit Card,3
1947,59,Male,Louisiana,No,41,Credit Card,3
1949,54,Male,Connecticut,No,39,PayPal,5
1953,57,Male,Maryland,No,50,Cash,5
1956,50,Male,Maine,No,37,Cash,4
1958,68,Male,South Carolina,No,26,Cash,5
